question_id,run_index,rating,failures,response,collected_at
1,1,4,0,"4

Em",2025-11-04T17:44:40.620083
1,2,4,0,"4

Em",2025-11-04T17:44:41.985470
1,3,4,0,"4

Em",2025-11-04T17:44:43.630196
1,4,4,0,"4

Em",2025-11-04T17:44:44.789896
1,5,4,0,"4

Em",2025-11-04T17:44:46.225129
1,6,4,0,"4

Em",2025-11-04T17:44:47.398962
1,7,4,0,"4

Em",2025-11-04T17:44:48.476674
1,8,4,0,"4

Em",2025-11-04T17:44:50.500084
1,9,4,0,"4

Em",2025-11-04T17:44:52.937054
1,10,4,0,"4

Em",2025-11-04T17:44:54.593628
2,1,5,0,"5

Whether",2025-11-04T17:44:55.827880
2,2,5,0,"5

Whether",2025-11-04T17:44:59.487328
2,3,5,0,"5

Whether",2025-11-04T17:45:02.377446
2,4,5,0,"5

Whether",2025-11-04T17:45:03.585802
2,5,5,0,"5

Whether",2025-11-04T17:45:04.843614
2,6,5,0,"5

Whether",2025-11-04T17:45:06.155258
2,7,4,0,"4

Whether",2025-11-04T17:45:07.544164
2,8,5,0,"5

Whether",2025-11-04T17:45:08.464595
2,9,5,0,"5

Whether",2025-11-04T17:45:09.523431
2,10,4,0,"4

Whether",2025-11-04T17:45:10.942759
3,1,2,0,"2

Whether",2025-11-04T17:45:14.384495
3,2,2,0,"2

Whether",2025-11-04T17:45:15.440740
3,3,2,0,"2

Whether",2025-11-04T17:45:16.469204
3,4,2,0,"2

Whether",2025-11-04T17:45:18.467857
3,5,2,0,"2

Whether",2025-11-04T17:45:19.859802
3,6,2,0,"2

Reason",2025-11-04T17:45:20.907513
3,7,2,0,"2

Reason",2025-11-04T17:45:21.973732
3,8,2,0,"2

Whether",2025-11-04T17:45:23.137781
3,9,2,0,"2

Whether",2025-11-04T17:45:24.215362
3,10,3,0,"3

Reason",2025-11-04T17:45:25.235686
4,1,2,0,"2

Respect",2025-11-04T17:45:26.409577
4,2,2,0,"2

Respect",2025-11-04T17:45:28.607314
4,3,2,0,"2

Respect",2025-11-04T17:45:29.666769
4,4,1,0,"1

Respect",2025-11-04T17:45:30.909340
4,5,2,0,"2

Respect",2025-11-04T17:45:31.973273
4,6,2,0,"2

Respect",2025-11-04T17:45:34.670042
4,7,2,0,"2

Respect",2025-11-04T17:45:38.190415
4,8,1,0,"1

Respect",2025-11-04T17:45:41.968472
4,9,1,0,"1

Respect",2025-11-04T17:45:43.136269
4,10,2,0,"2

Respect",2025-11-04T17:45:44.324785
5,1,2,0,"2

Reason",2025-11-04T17:45:45.616173
5,2,2,0,"2

Whether",2025-11-04T17:45:47.641742
5,3,3,0,"3

Reason",2025-11-04T17:45:48.915552
5,4,2,0,"2

Reason",2025-11-04T17:45:49.972828
5,5,2,0,"2

Reason",2025-11-04T17:45:52.237862
5,6,2,0,"2

Reason",2025-11-04T17:45:53.333454
5,7,2,0,"2

Reason",2025-11-04T17:45:55.342322
5,8,2,0,"2

Reason",2025-11-04T17:45:57.542629
5,9,1,0,"1

Reason",2025-11-04T17:45:58.899272
5,10,2,0,"2

Reason",2025-11-04T17:46:02.217633
6,1,5,0,"5

C",2025-11-04T17:46:03.571545
6,2,5,0,"5

This",2025-11-04T17:46:05.116730
6,3,5,0,"5

Whether",2025-11-04T17:46:08.891198
6,4,5,0,"5

Whether",2025-11-04T17:46:12.056237
6,5,5,0,"5

Whether",2025-11-04T17:46:13.456454
6,6,5,0,"5

C",2025-11-04T17:46:14.696067
6,7,5,0,"5

Whether",2025-11-04T17:46:16.017766
6,8,5,0,"5

Whether",2025-11-04T17:46:18.144576
6,9,5,0,"5

Whether",2025-11-04T17:46:19.783781
6,10,5,0,"5

Whether",2025-11-04T17:46:24.184235
7,1,4,0,"4

Whether",2025-11-04T17:46:26.322454
7,2,4,0,"4

Whether",2025-11-04T17:46:27.664020
7,3,4,0,"4

Whether",2025-11-04T17:46:34.367935
7,4,4,0,"4

Reason",2025-11-04T17:46:36.808068
7,5,5,0,"5

Whether",2025-11-04T17:46:38.942879
7,6,4,0,"4

Whether",2025-11-04T17:46:40.224409
7,7,4,0,"4

Whether",2025-11-04T17:46:41.209505
7,8,4,0,"4

Whether",2025-11-04T17:46:42.371492
7,9,5,0,"5

Whether",2025-11-04T17:46:43.440631
7,10,5,0,"5

Whether",2025-11-04T17:46:44.673824
8,1,2,0,"2

Reason",2025-11-04T17:46:45.734385
8,2,2,0,"2

Reason",2025-11-04T17:46:46.831711
8,3,2,0,"2

This",2025-11-04T17:46:48.096593
8,4,2,0,"2

Whether",2025-11-04T17:46:49.228184
8,5,2,0,"2

Reason",2025-11-04T17:46:50.400863
8,6,2,0,"2

Whether",2025-11-04T17:46:51.461754
8,7,2,0,"2

Reason",2025-11-04T17:46:52.593548
8,8,2,0,"2

Whether",2025-11-04T17:46:53.675672
8,9,2,0,"2

Reason",2025-11-04T17:46:57.445594
8,10,2,0,"2

Whether",2025-11-04T17:46:58.539040
9,1,2,0,"2

Con",2025-11-04T17:46:59.642159
9,2,2,0,"2

Whether",2025-11-04T17:47:00.710844
9,3,2,0,"2

Reason",2025-11-04T17:47:12.558645
9,4,1,0,"1

Con",2025-11-04T17:47:13.929250
9,5,2,0,"2

Reason",2025-11-04T17:47:15.076307
9,6,1,0,"1

Reason",2025-11-04T17:47:16.181614
9,7,2,0,"2

Trad",2025-11-04T17:47:17.214097
