persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,4,0,"4, Emotional",2025-11-03T20:48:50.062001
0,1,2,4,0,"4, very",2025-11-03T20:48:51.742370
0,1,3,4,0,4 - As,2025-11-03T20:48:52.871122
0,1,4,4,0,"4, As",2025-11-03T20:48:54.662754
0,1,5,4,0,"4, Emotional",2025-11-03T20:48:56.138480
0,1,6,4,0,4. Emotional,2025-11-03T20:48:57.323841
0,1,7,4,0,"4, As",2025-11-03T20:48:58.594704
0,1,8,4,0,4 — As,2025-11-03T20:48:59.872912
0,1,9,4,0,"4, Emotional",2025-11-03T20:49:01.036475
0,1,10,4,0,"4, As",2025-11-03T20:49:02.525315
0,2,1,5,0,5 — As,2025-11-03T20:49:03.611769
0,2,2,5,0,5 — In,2025-11-03T20:49:04.910173
0,2,3,5,0,"5
As",2025-11-03T20:49:06.231465
0,2,4,5,0,"5, In",2025-11-03T20:49:07.848151
0,2,5,5,0,"5, Because",2025-11-03T20:49:09.313791
0,2,6,5,0,5 — In,2025-11-03T20:49:10.806113
0,2,7,5,0,"5, Ens",2025-11-03T20:49:12.123562
0,2,8,5,0,5 - As,2025-11-03T20:49:13.596883
0,2,9,5,0,"5
In",2025-11-03T20:49:15.343070
0,2,10,5,0,5 — In,2025-11-03T20:49:16.557339
0,3,1,2,0,"2, As",2025-11-03T20:49:17.909930
0,3,2,2,0,"2, As",2025-11-03T20:49:20.167545
0,3,3,2,0,"2, As",2025-11-03T20:49:21.693701
0,3,4,2,0,"2, slightly",2025-11-03T20:49:23.086122
0,3,5,2,0,"2, As",2025-11-03T20:49:24.301153
0,3,6,2,0,"2, As",2025-11-03T20:49:25.305085
0,3,7,2,0,2 – As,2025-11-03T20:49:29.307327
0,3,8,2,0,"2, slightly",2025-11-03T20:49:30.769205
0,3,9,2,0,"2
As",2025-11-03T20:49:32.132790
0,3,10,2,0,"2, slightly",2025-11-03T20:49:34.703448
0,4,1,2,0,"2, slightly",2025-11-03T20:49:36.588882
0,4,2,2,0,"2
As",2025-11-03T20:49:39.816159
0,4,3,2,0,"2, slightly",2025-11-03T20:49:41.096344
0,4,4,3,0,"3
As",2025-11-03T20:49:42.354640
0,4,5,2,0,"2, slightly",2025-11-03T20:49:43.872224
0,4,6,2,0,"2, While",2025-11-03T20:49:45.486216
0,4,7,3,0,"3, somewhat",2025-11-03T20:49:47.175784
0,4,8,3,0,"3
As",2025-11-03T20:49:48.801377
0,4,9,3,0,"3, somewhat",2025-11-03T20:49:50.194420
0,4,10,3,0,"3
As",2025-11-03T20:49:52.123517
0,5,1,2,0,"2, As",2025-11-03T20:49:53.477092
0,5,2,2,0,"2, As",2025-11-03T20:49:55.099489
0,5,3,2,0,"2, Slight",2025-11-03T20:49:56.923522
0,5,4,2,0,"2, because",2025-11-03T20:49:58.397748
0,5,5,2,0,"2, As",2025-11-03T20:49:59.818869
0,5,6,2,0,"2, As",2025-11-03T20:50:01.322584
0,5,7,2,0,"2, As",2025-11-03T20:50:02.536530
0,5,8,2,0,"2, As",2025-11-03T20:50:03.969495
0,5,9,2,0,"2, slightly",2025-11-03T20:50:05.501041
0,5,10,2,0,"2, As",2025-11-03T20:50:06.998249
0,6,1,5,0,5 — As,2025-11-03T20:50:09.978746
0,6,2,5,0,"5, Caring",2025-11-03T20:50:11.429411
0,6,3,4,0,"4
As",2025-11-03T20:50:12.841752
0,6,4,4,0,"4
As",2025-11-03T20:50:14.211283
0,6,5,4,0,"4, As",2025-11-03T20:50:15.588529
0,6,6,4,0,4 - As,2025-11-03T20:50:16.740928
0,6,7,4,0,"4
As",2025-11-03T20:50:18.280726
0,6,8,4,0,"4
As",2025-11-03T20:50:19.757150
0,6,9,4,0,"4
As",2025-11-03T20:50:21.204437
0,6,10,5,0,"5, As",2025-11-03T20:50:24.672548
0,7,1,5,0,"5, Fair",2025-11-03T20:50:26.515174
