old_id,new_id,avg_distance,n_models,persona_text
15,0,3.8561742963077044,15,A self-motivated student volunteering as a research subject to contribute to the understanding of learning processes
52,1,4.074625056129344,15,A professor specializing in cognitive neuroscience and the effects of extreme environments on the brain
11,2,4.087979450381698,15,An aspiring cognitive neuroscientist seeking guidance on understanding the relationship between the brain and consciousness
32,3,4.110610411888957,15,A distinguished professor emeritus who has made significant contributions to the field of particle physics
31,4,4.111317318404569,15,A college professor who specializes in cognitive psychology and supports their partner's mentoring efforts
23,5,4.233061067698274,15,A retired mass media professor staying current with marketing trends through mentorship
64,6,4.437585547794855,15,A computer science major who often debates the impact of technology on historical data preservation
43,7,4.444461631664657,15,A political scientist writing a comprehensive analysis of global politics
46,8,4.493689730329959,15,a tech-savvy receptionist at a wellness center
63,9,4.5642536792139525,15,"A public policy major, focusing on healthcare disparities, inspired by their parent's work"
59,10,4.604639130856489,15,"A middle-aged aspiring novelist and music enthusiast from Edinburgh, patiently working on a draft while sipping Scottish tea on rainy afternoons."
69,11,4.6205827359477105,15,A video game developer who provides insider knowledge and references for the cosplayer's next character transformation
79,12,4.643723991233018,15,A film studies professor who specializes in contemporary American television and has a deep appreciation for Elmore Leonard's work.
90,13,4.678678903675954,13,A research associate who assists in analyzing retention data and identifying areas for improvement
68,14,4.69897271549958,15,A college student studying e-commerce and aids in the family business's online transition
91,15,4.779652566748814,15,A genealogist tracing the lineage of women who played influential roles during the Industrial Revolution
10,16,4.825123851366996,15,a Slovenian industrial designer who has known Nika Zupanc since college
48,17,4.8253322916762675,15,An experienced mobile app developer who is a minimalist.
78,18,4.843735585079175,15,A retired historian interested in habitat laws and regulations in Texas.
96,19,4.850685863683989,15,An insurance claims adjuster who benefited from the law professor's teachings
33,20,4.856012726793883,15,A filmmaker who incorporates shadow play in their movies to create a mysterious atmosphere
70,21,4.864316636977588,15,A shy introvert discovering their voice through the art of written stories
6,22,4.889023244290133,15,A renowned world percussionist who shares their expertise and guidance
80,23,4.889579055904038,15,A local health clinic director seeking guidance on improving healthcare access for underserved populations
28,24,4.895855651819081,15,"Dr. Paul R. Gregory, a Research Fellow at Stanford University’s Hoover Institution, a Research Professor at the German Institute for Economic Research in Berlin, holds an endowed professorship in the Department of Economics at the University of Houston, and is emeritus chair of the International Advisory Board of the Kiev School of Economics."
71,25,4.907460726205813,15,A renowned microbiologist who pioneered the field of bacterial metabolic engineering for biofuel
77,26,4.913680560171189,15,An elderly retired professor who loves to learn and is interested in understanding the concept of remote work
7,27,4.923552440530868,15,A Welsh aspiring screenwriter who has been following Roanne Bardsley's career for inspiration
21,28,4.9594008782458605,15,A curious language enthusiast learning Latvian to better understand Baltic culture
85,29,4.999215186343856,15,A English literature teacher trying to implement statistical analysis in grading writing assignments
95,30,5.015707495075892,14,A dedicated music historian who helps research and uncover information about these obscure bands
49,31,5.025825614322657,15,An eco-conscious local Miles from Fort Junction
98,32,5.031863361996455,15,A medical professional who values personalized attention and relies on the sales representative's expertise to choose the best supplies for their practice
38,33,5.0809747132567225,15,A talented artist who captures the fighter's journey through powerful illustrations
2,34,5.094164964517745,15,A marketing manager who appreciates the web developer's ability to incorporate puns into their company's website content
36,35,5.146337099545661,15,A fellow annoyed spouse who commiserates and shares funny anecdotes about their partners' obsessions
